"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"ASTRON","Astron Paper & Board Mill Limited","Trading Window","Astron Paper & Board Mill Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:40:29","2025-12-30 16:40:29","30-Dec-2025 16:40:30","00:00:01","https://nsearchives.nseindia.com/corporate/ASTRON_30122025164001_BSE_Intimation_Closure_of_Trading_Window.pdf"
"RPPINFRA","R.P.P. Infra Projects Limited","Trading Window","R.P.P. Infra Projects Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:40:15","2025-12-30 16:40:15","30-Dec-2025 16:40:16","00:00:01","https://nsearchives.nseindia.com/corporate/RPPINFRA_30122025163913_Trading_Window_Closure-12302025154732_Signed__1_.pdf"
"INDIGO","InterGlobe Aviation Limited","Action(s) taken or orders passed","InterGlobe Aviation Limited has informed the Exchange about Action(s) taken or orders passed","30-Dec-2025 16:39:30","2025-12-30 16:39:30","30-Dec-2025 16:39:31","00:00:01","https://nsearchives.nseindia.com/corporate/Indigo1_30122025163822_SE__Tax_Disclosure__29122025.pdf"
"GULFOILLUB","Gulf Oil Lubricants India Limited","Copy of Newspaper Publication","We enclose herewith the newspaper cuttings of Business Standard (English) and Sakal (Marathi) dated December 30, 2025 wherein notice is published to the shareholders of the Company informing them about the Special Window for re-lodgement of transfer of physical shares.","30-Dec-2025 16:39:08","2025-12-30 16:39:08","30-Dec-2025 16:39:09","00:00:01","https://nsearchives.nseindia.com/corporate/GULFOILLUB_30122025163458_Newspaperrelodgementoftransfer.pdf"
"COFFEEDAY","Coffee Day Enterprises Limited","General Updates","Coffee Day Enterprises Limited has informed the Exchange about General Updates","30-Dec-2025 16:38:54","2025-12-30 16:38:54","30-Dec-2025 16:38:55","00:00:01","https://nsearchives.nseindia.com/corporate/COFFEEDAY_30122025163844_TWCQ3.pdf"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","Trading Window","Nagarjuna Fertilizers and Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:37:45","2025-12-30 16:37:45","30-Dec-2025 16:37:46","00:00:01","https://nsearchives.nseindia.com/corporate/NAGAFERT_30122025163736_Disclosure.PDF"
"POWERINDIA","Hitachi Energy India Limited","Action(s) taken or orders passed","Hitachi Energy India Limited has informed the Exchange about Action(s) taken or orders passed","30-Dec-2025 16:37:07","2025-12-30 16:37:07","30-Dec-2025 16:37:08","00:00:01","https://nsearchives.nseindia.com/corporate/HitachiEnergy_30122025163206_StockExchangeintimationKA.pdf"
"ASIANENE","Asian Energy Services Limited","Trading Window","Asian Energy Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:36:55","2025-12-30 16:36:55","30-Dec-2025 16:36:56","00:00:01","https://nsearchives.nseindia.com/corporate/ASIANENE_30122025163242_AESLSEAnnouncementTWCDecember2025Signed.pdf"
"FACT","Fertilizers and Chemicals Travancore Limited","Copy of Newspaper Publication","Fertilizers and Chemicals Travancore Limited has informed the Exchange about Copy of Newspaper Publication","30-Dec-2025 16:36:23","2025-12-30 16:36:23","30-Dec-2025 16:36:24","00:00:01","https://nsearchives.nseindia.com/corporate/FACT_30122025163344_LettertoNSEspecialwindowadv.pdf"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","Cessation","Gujarat Mineral Development Corporation Limited has informed the Exchange regarding Cessation of  Ms. Arti Kanwar, IAS as Non- Executive Director of the company w.e.f. December 29, 2025.","30-Dec-2025 16:35:20","2025-12-30 16:35:20","30-Dec-2025 16:35:21","00:00:01","https://nsearchives.nseindia.com/corporate/GMDCLTD_30122025163502_Sintimationresignation.pdf"
"NUVAMA","Nuvama Wealth Management Limited","Updates","Nuvama Wealth Management Limited has informed the Exchange regarding 'Intimation of credit confirmation of equity shares from Depositories withregard to Sub-division / Split of equity shares of the Company'.","30-Dec-2025 16:35:09","2025-12-30 16:35:09","30-Dec-2025 16:35:10","00:00:01","https://nsearchives.nseindia.com/corporate/NWML_30122025163301_SE-_Credit_Comfirmation_-Final.pdf"
"FINOPB","Fino Payments Bank Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Fino Payments Bank Limited has informed the Exchange about Schedule of meet","30-Dec-2025 16:33:50","2025-12-30 16:33:50","30-Dec-2025 16:33:51","00:00:01","https://nsearchives.nseindia.com/corporate/FINOPB_30122025163219_IM_Perpetuity.pdf"
