"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"SOBHA","Sobha Limited","Copy of Newspaper Publication","Newspaper Advertisement.","01-Jul-2025 14:59:30","2025-07-01 14:59:30","01-Jul-2025 14:59:32","00:00:02","https://nsearchives.nseindia.com/corporate/SOBHA_01072025145831_SE_INTIMATION_NEWSPAPER_ADVERTISEMENT.pdf","3.03 MB"
"PRAJIND","Praj Industries Limited","Change in Director(s)","Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.","01-Jul-2025 14:59:05","2025-07-01 14:59:05","01-Jul-2025 14:59:06","00:00:01","https://nsearchives.nseindia.com/corporate/PRAJIND_01072025145857_IntimationAMG01072025.pdf","170 KB"
"VARROC","Varroc Engineering Limited","Updates","Varroc Engineering Limited has informed the Exchange regarding 'Certificate for the Quarter ended June 30, 2025 pursuant to Chapter XVII of the Master Circular   Listing of Commercial Paper ( CP )'.","01-Jul-2025 14:58:16","2025-07-01 14:58:16","01-Jul-2025 14:58:18","00:00:02","https://nsearchives.nseindia.com/corporate/VARROC_01072025145808_Certificate_CFO_CP.pdf","266 KB"
"SHRENIK","Shrenik Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","SHRENIK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 14:57:02","2025-07-01 14:57:02","01-Jul-2025 14:57:02","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58760_1475624_01072025025701_WEB.xml","3 KB"
"XPROINDIA","Xpro India Limited","Copy of Newspaper Publication","Xpro India Limited has informed the Exchange about Copy of Newspaper Publication","01-Jul-2025 14:56:42","2025-07-01 14:56:42","01-Jul-2025 14:56:43","00:00:01","https://nsearchives.nseindia.com/corporate/XPROINDIASKD_01072025145617_Newspaperad_01072025.pdf","1.67 MB"
"AAVAS","Aavas Financiers Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","AAVAS FINANCIERS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 14:56:32","2025-07-01 14:56:32","01-Jul-2025 14:56:33","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58759_1475622_01072025025631_WEB.xml","26 KB"
"PRAJIND","Praj Industries Limited","Change in Director(s)","Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.","01-Jul-2025 14:55:58","2025-07-01 14:55:58","01-Jul-2025 14:55:59","00:00:01","https://nsearchives.nseindia.com/corporate/PRAJIND_01072025145538_IntimationPMCBMD01072025.pdf","171 KB"
"PODDARMENT","Poddar Pigments Limited","Appointment","Poddar Pigments Limited has informed the Exchange regarding Appointment of   as Compliance Officer of the company w.e.f. July 01, 2025.","01-Jul-2025 14:55:46","2025-07-01 14:55:46","01-Jul-2025 14:55:47","00:00:01","https://nsearchives.nseindia.com/corporate/PODDARMENT_01072025145255_Outcome_of_board_meeting.pdf","461 KB"
"PARAS","Paras Defence and Space Technologies Limited","General Updates","Paras Defence And Space Technologies Limited has informed the Exchange about Receipt of Letter of Intent from Cerbair, France (French leader in anti-drone solutions) with a requirement to purchase 30 units of CHIMERA 200, valued at approximately 2.2 million euros (Rs. 22.21 crores) from Paras Anti-Drone Technologies Private Limited, a subsidiary of the Company.","01-Jul-2025 14:55:39","2025-07-01 14:55:39","01-Jul-2025 14:55:40","00:00:01","https://nsearchives.nseindia.com/corporate/PARAS_01072025145526_IntimationCerbairLOIAntiDrone01072025.pdf","293 KB"
"SHRENIK","Shrenik Limited","Change in Director(s)","Shrenik Limited has informed the Exchange regarding Change in Director(s) of the company.","01-Jul-2025 14:52:54","2025-07-01 14:52:54","01-Jul-2025 14:52:56","00:00:02","https://nsearchives.nseindia.com/corporate/SHRENIK_01072025145246_Shrenik_outcome_signed.pdf","213 KB"
