"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"VBL","Varun Beverages Limited","Analysts/Institutional Investor Meet/Con. Call Updates","We wish to inform you that pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, representatives of the Company shall participate in the meeting of group of investors as per schedule given in the enclosed intimation.","10-Sep-2025 14:52:15","2025-09-10 14:52:15","10-Sep-2025 14:52:16","00:00:01","https://nsearchives.nseindia.com/corporate/VBL_10092025145158_Intimation_InvestorMeet.pdf"
"DSKULKARNI","DS Kulkarni Developers Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from DS Kulkarni Developers Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted The response of the Company is enclosed.","10-Sep-2025 14:48:18","2025-09-10 14:48:18","10-Sep-2025 14:48:19","00:00:01","https://nsearchives.nseindia.com/corporate/DSKULKARNI_10092025112428_Clarification.pdf"
"GEMAROMA","Gem Aromatics Limited","Updates","Gem Aromatics Limited has informed the Exchange regarding 'Intimation for Change of Corporate Identification Number (CIN) and Listing Status of Gem Aromatics Limited'.","10-Sep-2025 14:47:58","2025-09-10 14:47:58","10-Sep-2025 14:47:59","00:00:01","https://nsearchives.nseindia.com/corporate/GEMAROMATICS2024_10092025144704_Intimation_for_updation_of_CIN-F.pdf"
"LEEL","LEEL Electricals Limited","Outcome of Board Meeting","LEEL Electricals Limited has informed the Exchange regarding  Board meeting held on September 10, 2025.","10-Sep-2025 14:47:08","2025-09-10 14:47:08","10-Sep-2025 14:47:09","00:00:01","https://nsearchives.nseindia.com/corporate/LEEL_10092025144647_BM_Outcome_10092025.pdf"
"COSMOFIRST","COSMO FIRST LIMITED","Updates","COSMO FIRST LIMITED has informed the Exchange regarding 'Machine Readable / Legible copy of Financial Results '.","10-Sep-2025 14:46:47","2025-09-10 14:46:47","10-Sep-2025 14:46:48","00:00:01","https://nsearchives.nseindia.com/corporate/COSMOFILMS_10092025144627_Outcome_13082025.pdf"
"AAVAS","Aavas Financiers Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aavas Financiers Limited has informed the Exchange about Investor(s)/Analyst(s) Meet/Call/Conference Scheduled to be held on September 15 and 17, 2025.","10-Sep-2025 14:44:16","2025-09-10 14:44:16","10-Sep-2025 14:44:17","00:00:01","https://nsearchives.nseindia.com/corporate/AAVAS_10092025143919_InvestorMeetIntimation.pdf"
"KSL","Kalyani Steels Limited","Copy of Newspaper Publication","Kalyani Steels Limited has informed the Exchange about Copy of Newspaper Publication","10-Sep-2025 14:40:13","2025-09-10 14:40:13","10-Sep-2025 14:40:14","00:00:01","https://nsearchives.nseindia.com/corporate/KSL_10092025143952_Reminder_1_NP_Publication_Special_Trading_Window_Physical_Trf_10092025.pdf"
"NAVKARURB","Navkar Urbanstructure Limited","Copy of Newspaper Publication","Newspaper Advertisement of Notice of 33rd Annual General Meeting[AGM]","10-Sep-2025 14:40:12","2025-09-10 14:40:12","10-Sep-2025 14:40:13","00:00:01","https://nsearchives.nseindia.com/corporate/NAVKAR9_10092025144003_news_paper_notice_ar_navkar.pdf"
"KRYSTAL","Krystal Integrated Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Krystal Integrated Services Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:36:58","2025-09-10 14:36:58","10-Sep-2025 14:36:59","00:00:01","https://nsearchives.nseindia.com/corporate/KISL123_10092025143540_InvestorMeetIntimation150925.pdf"
"AARTIDRUGS","Aarti Drugs Limited","Action(s) taken or orders passed","Aarti Drugs Limited has informed the Exchange about Action(s) taken or orders passed","10-Sep-2025 14:35:25","2025-09-10 14:35:25","10-Sep-2025 14:35:25","00:00:00","https://nsearchives.nseindia.com/corporate/AARTIDRUGS_10092025143144_ADL.pdf"
"DCMNVL","DCM Nouvelle Limited","Change in Company Secretary/Compliance Officer","DCM Nouvelle Limited has informed the Exchange about Change in Company Secretary and Compliance Officer","10-Sep-2025 14:35:16","2025-09-10 14:35:16","10-Sep-2025 14:35:17","00:00:01","https://nsearchives.nseindia.com/corporate/DCMNVL_10092025143354_BSENSESigned.pdf"
"AEGISLOG","Aegis Logistics Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Logistics Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:32:05","2025-09-10 14:32:05","10-Sep-2025 14:32:06","00:00:01","https://nsearchives.nseindia.com/corporate/AEGISCHEM_10092025143106_ALL_Investormeet_S.pdf"
"AEGISLOG","Aegis Logistics Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Logistics Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:32:05","2025-09-10 14:32:05","10-Sep-2025 14:32:06","00:00:01","https://nsearchives.nseindia.com/corporate/AEGISCHEM_10092025143125_ALL_Investormeet_S.pdf"
"AEGISLOG","Aegis Logistics Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Logistics Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:32:05","2025-09-10 14:32:05","10-Sep-2025 14:32:06","00:00:01","https://nsearchives.nseindia.com/corporate/AEGISCHEM_10092025143135_ALL_Investormeet_S.pdf"
"ASHIANA","Ashiana Housing Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Ashiana Housing Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:30:20","2025-09-10 14:30:20","10-Sep-2025 14:30:20","00:00:00","https://nsearchives.nseindia.com/corporate/ASHIANA_10092025143012_InvestorMeetsigned.pdf"
"GOACARBON","Goa Carbon Limited","Change in Director(s)","Goa Carbon Limited has informed the Exchange regarding Change in Director(s) of the company.","10-Sep-2025 14:30:01","2025-09-10 14:30:01","10-Sep-2025 14:30:02","00:00:01","https://nsearchives.nseindia.com/corporate/GOACARBON_10092025142925_GOACARBON_Appointment_of_KF_ID_AGM2025.pdf"
"APOLLO","Apollo Micro Systems Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Apollo Micro Systems Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:26:58","2025-09-10 14:26:58","10-Sep-2025 14:26:59","00:00:01","https://nsearchives.nseindia.com/corporate/APOLLO_10092025142647_SE_Intimation_Schedule_of_Analyst_Meet.pdf"
"PSB","Punjab & Sind Bank","Change in Director(s)","Punjab & Sind Bank has informed the Exchange regarding Change in Director(s) of the company.","10-Sep-2025 14:26:28","2025-09-10 14:26:28","10-Sep-2025 14:26:29","00:00:01","https://nsearchives.nseindia.com/corporate/PSB_10092025142558_bsense10092025.pdf"
"CORALFINAC","Coral India Finance & Housing Limited","Copy of Newspaper Publication","CORALFINAC: Coral India Finance & Housing Limited has informed the Exchange about Copy of Newspaper Publication regarding Notice of 31st Annual General Meeting and E-Voting Information.","10-Sep-2025 14:23:15","2025-09-10 14:23:15","10-Sep-2025 14:23:16","00:00:01","https://nsearchives.nseindia.com/corporate/CORALFINAC_10092025142301_Intimation_NP_AGM_PostDispatch.pdf"
"PIDILITIND","Pidilite Industries Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Pidilite Industries Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:23:02","2025-09-10 14:23:02","10-Sep-2025 14:23:03","00:00:01","https://nsearchives.nseindia.com/corporate/Nisha_10092025142230_SEintimationanalystmeet10Sep2025.pdf"
"SEAMECLTD","Seamec Limited","Updates","Seamec Limited has informed the Exchange regarding 'Intimation on Deployment Status of Vessel SEAMEC II'.","10-Sep-2025 14:22:30","2025-09-10 14:22:30","10-Sep-2025 14:22:31","00:00:01","https://nsearchives.nseindia.com/corporate/SEAMECLTD_10092025142219_BSENSEDeploymentStatusSII10092025.pdf"
"CORALFINAC","Coral India Finance & Housing Limited","Copy of Newspaper Publication","CORALFINAC: Coral India Finance & Housing Limited has informed the Exchange about copies of Newspaper Publication regarding the information of 31st Annual General Meeting scheduled to be held on Monday, September 29, 2025, in compliance with the MCA Circulars.","10-Sep-2025 14:20:49","2025-09-10 14:20:49","10-Sep-2025 14:20:49","00:00:00","https://nsearchives.nseindia.com/corporate/CORALFINAC_10092025141848_Intimation_NP_AGM_PreDispatch.pdf"
"AGIIL","Agi Infra Limited","Amendment to AOA/MOA","Agi Infra Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.","10-Sep-2025 14:19:28","2025-09-10 14:19:28","10-Sep-2025 14:19:29","00:00:01","https://nsearchives.nseindia.com/corporate/AGIINFRA_10092025141747_AlterationofMOA.pdf"
"AEGISVOPAK","Aegis Vopak Terminals Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Vopak Terminals Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:19:05","2025-09-10 14:19:05","10-Sep-2025 14:19:06","00:00:01","https://nsearchives.nseindia.com/corporate/AVTL_10092025141338_AVTL_InvestorMeet_Signed.pdf"
"AEGISVOPAK","Aegis Vopak Terminals Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Vopak Terminals Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:19:05","2025-09-10 14:19:05","10-Sep-2025 14:19:06","00:00:01","https://nsearchives.nseindia.com/corporate/AVTL_10092025141415_AVTL_InvestorMeet_Signed.pdf"
"AEGISVOPAK","Aegis Vopak Terminals Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Aegis Vopak Terminals Limited has informed the Exchange about Schedule of meet","10-Sep-2025 14:19:05","2025-09-10 14:19:05","10-Sep-2025 14:19:06","00:00:01","https://nsearchives.nseindia.com/corporate/AVTL_10092025141502_AVTL_InvestorMeet_Signed.pdf"
"GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","Press Release","Gujarat Narmada Valley Fertilizers and Chemicals Limited has informed the Exchange regarding a press release dated September 09, 2025, titled ""49th Annual General Meeting of Gujarat Narmada Valley Fertilizers & Chemicals Limited held on September 09, 2025"".","10-Sep-2025 14:15:17","2025-09-10 14:15:17","10-Sep-2025 14:15:18","00:00:01","https://nsearchives.nseindia.com/corporate/rajeshpillai8741_10092025141453_F_SE_Press_49_AGM_Signed.pdf"
"ADROITINFO","Adroit Infotech Limited","Shareholders meeting","Adroit Infotech Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 09, 2025","10-Sep-2025 14:14:34","2025-09-10 14:14:34","10-Sep-2025 14:14:34","00:00:00","https://nsearchives.nseindia.com/corporate/ADROITINFO_10092025141335_ScrutinizersReportwithCoveringLtr35thAGM.pdf"
"TULSI","Tulsi Extrusions Limited","Clarification - Financial Results","The Exchange has sought clarification from Tulsi Extrusions Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.","10-Sep-2025 14:13:39","2025-09-10 14:13:39","10-Sep-2025 14:13:40","00:00:01","-"
"RAJESHEXPO","Rajesh Exports Limited","Clarification - Financial Results","The Exchange has sought clarification from Rajesh Exports Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.","10-Sep-2025 14:12:40","2025-09-10 14:12:40","10-Sep-2025 14:12:42","00:00:02","-"
"YUKEN","Yuken India Limited","Shareholders meeting","Yuken India Limited has informed the Exchange regarding Proceedings of undefined held on September 10, 2025","10-Sep-2025 14:11:16","2025-09-10 14:11:16","10-Sep-2025 14:11:17","00:00:01","https://nsearchives.nseindia.com/corporate/YUKEN_10092025141043_proceedings.pdf"
"ZEEL","Zee Entertainment Enterprises Limited","General Updates","Zee Entertainment Enterprises Limited has informed the Exchange about General Updates","10-Sep-2025 14:10:39","2025-09-10 14:10:39","10-Sep-2025 14:10:40","00:00:01","https://nsearchives.nseindia.com/corporate/ZEEL_10092025141007_SEintimationIDBI10Sep25_1.pdf"
"MBECL","Mcnally Bharat Engineering Company Limited","Copy of Newspaper Publication","Mcnally Bharat Engineering Company Limited has informed the Exchange about Copy of Newspaper Publication","10-Sep-2025 14:10:10","2025-09-10 14:10:10","10-Sep-2025 14:10:12","00:00:02","https://nsearchives.nseindia.com/corporate/MBECL_SEC_10092025140952_NewspaperPublication100925.pdf"
"CSBBANK","CSB Bank Limited","Analysts/Institutional Investor Meet/Con. Call Updates","CSB Bank Limited has informed the Exchange about Analysts/Institutional Investor Meet/Con. Call Updates","10-Sep-2025 14:08:21","2025-09-10 14:08:21","10-Sep-2025 14:08:22","00:00:01","https://nsearchives.nseindia.com/corporate/CSBBANK_10092025140307_IntimationofAnalystMeet10092025f.pdf"
"AGIIL","Agi Infra Limited","Shareholders meeting","Agi Infra Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.","10-Sep-2025 14:01:38","2025-09-10 14:01:38","10-Sep-2025 14:01:38","00:00:00","https://nsearchives.nseindia.com/corporate/AGIINFRA_10092025135859_VotingresultsFinal.pdf"
"QUINTEGRA","Quintegra Solutions Limited","General Updates","Quintegra Solutions Limited has informed the Exchange about the News Paper Advertisement","10-Sep-2025 14:01:05","2025-09-10 14:01:05","10-Sep-2025 14:01:06","00:00:01","https://nsearchives.nseindia.com/corporate/QUINTEGRA_10092025135920_AGM_News_Paper_Ad_to_SE.pdf"
"DWARKESH","Dwarikesh Sugar Industries Limited","Copy of Newspaper Publication","Dwarikesh Sugar Industries Limited has informed the Exchange about Copy of Newspaper Publication","10-Sep-2025 14:01:02","2025-09-10 14:01:02","10-Sep-2025 14:01:03","00:00:01","https://nsearchives.nseindia.com/corporate/DWARKESH_10092025140046_NewspaperPublication10092025_s.pdf"
"POKARNA","Pokarna Limited","Shareholders meeting","Pokarna Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 10, 2025","10-Sep-2025 14:00:47","2025-09-10 14:00:47","10-Sep-2025 14:00:47","00:00:00","https://nsearchives.nseindia.com/corporate/POKARNA_10092025135610_Outcome_of_34th_AGM.pdf"
"LICI","Life Insurance Corporation Of India","Updates","'This is to inform that the Life Insurance Corporation of India will be participating in the Jefferies 4th India Forum on September 16, 2025'.","10-Sep-2025 13:59:17","2025-09-10 13:59:17","10-Sep-2025 13:59:18","00:00:01","https://nsearchives.nseindia.com/corporate/LIC_BOARD_10092025135903_Investor_conference.pdf"
"INDIAMART","Indiamart Intermesh Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Indiamart Intermesh Limited has informed the Exchange about Schedule of meet","10-Sep-2025 13:57:22","2025-09-10 13:57:22","10-Sep-2025 13:57:23","00:00:01","https://nsearchives.nseindia.com/corporate/INDIAMART_10092025135553_InvestorMeetDisclosure10092025.pdf"
"HIRECT","Hind Rectifiers Limited","Shareholders meeting","HIRECT: Hind Rectifiers Limited has submitted the Exchange a revised copy Scrutinizer's report of Postal Ballot. Further, the company has informed the Exchange regarding voting results.","10-Sep-2025 13:52:42","2025-09-10 13:52:42","10-Sep-2025 13:52:42","00:00:00","https://nsearchives.nseindia.com/corporate/HIRECT_10092025135223_Revised_Scrutinizer_Report.pdf"
"LICI","Life Insurance Corporation Of India","Updates","'This is to inform that the Life Insurance Corporation of India  will be participating in the Jefferies 4th India Forum on September 16, 2025'.","10-Sep-2025 13:51:25","2025-09-10 13:51:25","10-Sep-2025 13:51:26","00:00:01","https://nsearchives.nseindia.com/corporate/LIC_BOARD_10092025135053_Investor_conference_1609.pdf"
"TORNTPOWER","Torrent Power Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Torrent Power Limited has informed the Exchange about Schedule of meet","10-Sep-2025 13:47:33","2025-09-10 13:47:33","10-Sep-2025 13:47:34","00:00:01","https://nsearchives.nseindia.com/corporate/TORNTPOWER_10092025134714_Investormeet.pdf"
"IKS","Inventurus Knowledge Solutions Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Inventurus Knowledge Solutions Limited has informed the Exchange about Schedule of meet","10-Sep-2025 13:45:47","2025-09-10 13:45:47","10-Sep-2025 13:45:48","00:00:01","https://nsearchives.nseindia.com/corporate/ShubhamIKS_10092025134520_20250910IntimationofInvestorMeet.pdf"
"SERVOTECH","Servotech Renewable Power System Limited","General Updates","Servotech Renewable Power System Limited has informed the Exchange about General Updates","10-Sep-2025 13:44:37","2025-09-10 13:44:37","10-Sep-2025 13:44:38","00:00:01","https://nsearchives.nseindia.com/corporate/SERVOTECH_10092025133715_NSE_Intimation_Hertz_Pixelz_Final.pdf"
"UNIVASTU","Univastu India Limited","General Updates","Univastu India Limited has informed the Exchange about General Updates","10-Sep-2025 13:44:29","2025-09-10 13:44:29","10-Sep-2025 13:44:29","00:00:00","https://nsearchives.nseindia.com/corporate/UNIVASTU_10092025134344_Incorrect_Record_Date10092025.pdf"
"GOACARBON","Goa Carbon Limited","Shareholders meeting","Goa Carbon Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 09, 2025. Further, the company has informed the Exchange regarding voting results.","10-Sep-2025 13:40:29","2025-09-10 13:40:29","10-Sep-2025 13:40:29","00:00:00","https://nsearchives.nseindia.com/corporate/GOACARBON_10092025133535_GOACARBON_VotingResults_ScrutinizersReport_57AGM2025.pdf"
"SYRMA","Syrma SGS Technology Limited","Amendment(s)","Update on Joint Venture Agreement between Syrma SGS Technology Limited ( Company ) and Shinhyup Electronics Co. Ltd- Approval of Government of Andra Pradesh","10-Sep-2025 13:39:33","2025-09-10 13:39:33","10-Sep-2025 13:39:35","00:00:02","https://nsearchives.nseindia.com/corporate/SYRMASGS_10092025133908_SyrmaReg30PCBAndhraGovt.pdf"
"AUBANK","AU Small Finance Bank Limited","Demise","With deep grief and intense sorrow, we hereby inform about the sad and untimely demise of Mr. Vimal Jain, Chief Financial Officer of the Bank on September 10, 2025. Vimal Ji, as he was fondly referred to, was associated with the Bank since 2010 and was a pillar of strength for the Bank and the Finance and Accounts function, playing a crucial leadership role throughout his 15+ years of career with the Bank. He was a deeply loved and admired leader whose perseverance, keen learning aptitude, and exemplary leadership capabilities paved the way for his emergence as a credible and respected banker. The Bank immensely benefitted from his vision and leadership during his tenure. The strong team created by him in Finance and Accounts will carry forward his vision and legacy with commitment as a true tribute to him. Mr. Vimal Jain s sudden and unexpected passing away today morning due to a cardiac arrest will be an irreparable loss to the Bank and his presence will be deeply missed. The Bank expresses deep sympathy and condolences to his family. The Bank is initiating necessary steps for interim succession and will update the regulators in due course regarding any further developments, as required under applicable RBI and SEBI regulations.","10-Sep-2025 13:37:30","2025-09-10 13:37:30","10-Sep-2025 13:37:31","00:00:01","https://nsearchives.nseindia.com/corporate/SUMIT1_10092025133615_SE_Submission_CFO.pdf"
"WILLAMAGOR","Williamson Magor & Company Limited","General Updates","Williamson Magor & Company Limited has informed the Exchange about Intimation to Shareholders","10-Sep-2025 13:37:18","2025-09-10 13:37:18","10-Sep-2025 13:37:20","00:00:02","https://nsearchives.nseindia.com/corporate/WILLAMAGOR_10092025133643_SELETTER10092025F.pdf"
"SHEKHAWATI","Shekhawati Industries Limited","Shareholders meeting","Shekhawati Industries Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 10, 2025","10-Sep-2025 13:36:19","2025-09-10 13:36:19","10-Sep-2025 13:36:19","00:00:00","https://nsearchives.nseindia.com/corporate/SPYL_10092025133543_Outcome34AGM10092025.pdf"
"SWARAJENG","Swaraj Engines Limited","Copy of Newspaper Publication","Please find enclosed herewith copies of the newspaper advertisement published today (i.e. 10th September, 2025) in the following newspapers, inter alia informing about the Investor Education and Protection Fund Authority s (IEPFA)  100 days Campaign - Saksham Niveshak :S.No. Name of Newspaper Editions1 Financial Express (English) All Edition2 Ajit (Punjabi) Jalandhar","10-Sep-2025 13:33:12","2025-09-10 13:33:12","10-Sep-2025 13:33:13","00:00:01","https://nsearchives.nseindia.com/corporate/SWARAJENG_10092025133257_SELNewspaperAd10092025.pdf"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","Copy of Newspaper Publication","Nagarjuna Fertilizers and Chemicals Limited has informed the Exchange about Copy of Newspaper Publication","10-Sep-2025 13:32:51","2025-09-10 13:32:51","10-Sep-2025 13:32:52","00:00:01","https://nsearchives.nseindia.com/corporate/NAGAFERT_10092025133243_Disclosure.pdf"
"TATAELXSI","Tata Elxsi Limited","Press Release","Tata Elxsi Limited has informed the Exchange regarding a press release dated September 10, 2025, titled ""Tata Elxsi Launches a Global Technology Centre for Medical Devices from Bayer in Radiology"".","10-Sep-2025 13:29:35","2025-09-10 13:29:35","10-Sep-2025 13:29:36","00:00:01","https://nsearchives.nseindia.com/corporate/TELNSE_10092025132907_Press_Release_10092025.pdf"
"POONAWALLA","Poonawalla Fincorp Limited","Allotment of Securities","Poonawalla Fincorp Limited has informed the Exchange regarding allotment of 100000 securities pursuant to Non Convertible Securities at its meeting held on September 10, 2025","10-Sep-2025 13:26:26","2025-09-10 13:26:26","10-Sep-2025 13:26:28","00:00:02","https://nsearchives.nseindia.com/corporate/TUSHARPOONAWALLA_10092025132604_PFLIntimationAllotmentofNCDs10092025.pdf"
"APOLLO","Apollo Micro Systems Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Apollo Micro Systems Limited has informed the Exchange about Schedule of meet","10-Sep-2025 13:23:28","2025-09-10 13:23:28","10-Sep-2025 13:23:30","00:00:02","https://nsearchives.nseindia.com/corporate/APOLLO_10092025132313_SE_Intimation_Schedule_of_Analyst_Meet.pdf"
"HAPPYFORGE","Happy Forgings Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Happy Forgings Limited has informed the Exchange about Schedule of meet","10-Sep-2025 13:19:57","2025-09-10 13:19:57","10-Sep-2025 13:19:58","00:00:01","https://nsearchives.nseindia.com/corporate/9876964720_10092025131942_IntimationofInvestorMeet.pdf"
"UNIVPHOTO","Universus Photo Imagings Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Universus Photo Imagings Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted The response of the Company is enclosed.","10-Sep-2025 13:13:47","2025-09-10 13:13:47","10-Sep-2025 13:13:48","00:00:01","https://nsearchives.nseindia.com/corporate/UNIVPHOTO_10092025101624_NSE_Clarification_for_Segment_Reporting_10092025.pdf"
"STARCEMENT","Star Cement Limited","General Updates","Star Cement Limited has informed the Exchange about General Updates","10-Sep-2025 13:12:52","2025-09-10 13:12:52","10-Sep-2025 13:12:53","00:00:01","https://nsearchives.nseindia.com/corporate/STARCEMENT_10092025131209_SEIntimation10092025-FINAL.pdf"
"AGROPHOS","Agro Phos India Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Agro Phos India Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted The response of the Company is enclosed.","10-Sep-2025 13:12:20","2025-09-10 13:12:20","10-Sep-2025 13:12:22","00:00:02","https://nsearchives.nseindia.com/corporate/AGROPHOS_09092025155114_Clarification_09092025.pdf"
"SUZLON","Suzlon Energy Limited","ESOP/ESOS/ESPS","Suzlon Energy Limited has informed the Exchange regarding Allotment of 2237250  Shares.","10-Sep-2025 13:10:49","2025-09-10 13:10:49","10-Sep-2025 13:10:50","00:00:01","https://nsearchives.nseindia.com/corporate/SUZLON1_10092025130952_Suzlon10092025.pdf"
