Date,Open,High,Low,Close
12/26/2025 08:20,88578.4,88773,88547,88752
12/26/2025 08:15,88661.3,88712.9,88556,88578.4
12/26/2025 08:10,88528.6,88653,88435,88581
12/26/2025 08:05,88617,88756,88500,88528.6
12/26/2025 08:00,88374.9,88865,88355,88636.8
12/26/2025 07:55,88551.2,88579,88292.1,88444.5
12/26/2025 07:50,88631,88637,88484,88484
12/26/2025 07:45,88781,88806,88551.8,88629.3
12/26/2025 07:40,88894,88980,88702,88783
12/26/2025 07:35,89166,89223,88803,88820
12/26/2025 07:30,89418.9,89418.9,89091,89166
12/26/2025 07:25,89456,89542,89348,89413
12/26/2025 07:20,89369,89519.6,89232.9,89418.5
12/26/2025 07:15,89299.9,89405,89213,89310.1
12/26/2025 07:10,89196,89374,89110,89348.6
12/26/2025 07:05,89156,89201.7,89080.6,89195
12/26/2025 07:00,89053,89186,89049,89080.6
12/26/2025 06:55,89071.8,89222,89049,89049
12/26/2025 06:50,89132.5,89160,89039,89071.8
12/26/2025 06:45,89242,89242,89031,89137.7
12/26/2025 06:40,89057,89244,89044,89169.5
12/26/2025 06:35,89007.6,89150,88982,89132.5
12/26/2025 06:30,89001,89098,88968,89063.3
12/26/2025 06:25,89082.8,89098,89000,89001
12/26/2025 06:20,89108.2,89119,88956,89024.3
12/26/2025 06:15,89094,89155,89001,89035
12/26/2025 06:10,88978.3,89148,88966,89002
12/26/2025 06:05,89061,89066,88964,88978.3
12/26/2025 06:00,88985.3,89071,88923,89060
12/26/2025 05:55,88910.7,89044,88841,88972
12/26/2025 05:50,88863,88935,88782,88910.5
12/26/2025 05:45,88870,88957,88770.5,88862.3
12/26/2025 05:40,88844,88877,88749,88870
12/26/2025 05:35,88872,88895,88756,88766
12/26/2025 05:30,88835.2,88922,88762,88846.6
12/26/2025 05:25,88904,88926,88814,88835.2
12/26/2025 05:20,88838,88945,88762,88902
12/26/2025 05:15,88937.1,88937.1,88762,88766.5
12/26/2025 05:10,88872,88989,88833,88940.9
12/26/2025 05:05,88919,89019,88856,88876.4
12/26/2025 05:00,88966,89019,88848,88916.5
12/26/2025 04:55,89033.1,89064,88891,88971
12/26/2025 04:50,89046.1,89063.8,88926,88969.2
12/26/2025 04:45,89028,89148,88939,88973
12/26/2025 04:40,88788,89076,88771.9,88956.7
12/26/2025 04:35,88813,88867,88737,88788
12/26/2025 04:30,88704,88826,88621.9,88814
12/26/2025 04:25,88579.6,88721,88571,88628
12/26/2025 04:20,88686,88764.1,88563,88651
12/26/2025 04:15,88717,88782,88628.8,88669.6
12/26/2025 04:10,88563,88717.6,88563,88701.9
12/26/2025 04:05,88536.8,88651,88444,88563
12/26/2025 04:00,88836.6,88837,88463,88538
12/26/2025 03:55,88736.5,88835,88666,88828.3
12/26/2025 03:50,88762.6,88850,88677,88751
12/26/2025 03:45,88641.5,88880,88641.5,88822.9
12/26/2025 03:40,88729,88759.5,88625,88728
12/26/2025 03:35,88786.1,88832,88643.8,88651.3
12/26/2025 03:30,88745.3,88871.3,88665,88790
12/26/2025 03:25,88794,88880,88713,88745.3
12/26/2025 03:20,88751,88910,88651.6,88881
12/26/2025 03:15,89032.7,89032.7,88718,88751
12/26/2025 03:10,89096.9,89248.8,88928,88934.1
12/26/2025 03:05,89000.7,89189,89000,89171
12/26/2025 03:00,89171.7,89273,88974,89000.7
12/26/2025 02:55,89278,89283,89033,89176.7
12/26/2025 02:50,89070,89281,89000,89277
12/26/2025 02:45,89135,89301,88962,89023
12/26/2025 02:40,89019.9,89255.3,89019.9,89138
12/26/2025 02:35,89084,89373,88988,89093
12/26/2025 02:30,88999.4,89369,88999.4,89003
12/26/2025 02:25,89018,89260,88896,88924
12/26/2025 02:20,88563,89090,88563,88922
12/26/2025 02:15,88113,88680,88113,88563
12/26/2025 02:10,87517.1,88132,87499,88124.7
12/26/2025 02:05,87450.2,87603,87400,87522
12/26/2025 02:00,87370.1,87538,87367,87435
12/26/2025 01:55,87447,87482,87366,87370.1
12/26/2025 01:50,87474,87493,87347,87447
12/26/2025 01:45,87340,87495,87314,87376.9
12/26/2025 01:40,87283.3,87448,87256.1,87418
12/26/2025 01:35,87276.5,87395,87275,87368
12/26/2025 01:30,87276.5,87378,87253,87362
12/26/2025 01:25,87350,87405,87254,87276.5
12/26/2025 01:20,87293.2,87390,87190,87280
12/26/2025 01:15,87308,87372,87202,87244.4
12/26/2025 01:10,87214,87356,87191,87199
12/26/2025 01:05,87239,87334,87153,87210
12/26/2025 01:00,87153,87264,87051.9,87153
12/26/2025 00:55,87106,87155,86988,87051.9
12/26/2025 00:50,86915.2,87164,86912,87106
12/26/2025 00:45,86899,87038,86873,86926.3
12/26/2025 00:40,87081.5,87157,86850,86928.8
12/26/2025 00:35,87149.7,87234,86979,87155
12/26/2025 00:30,87006.9,87231,87006.9,87220
12/26/2025 00:25,87106,87295,86901,87102
12/26/2025 00:20,87079.5,87190,87028,87106
12/26/2025 00:15,87139.2,87165,87003,87043.8
12/26/2025 00:10,87010,87234,86989,87139.2
12/26/2025 00:05,87199,87356,87010,87043.3
12/26/2025 00:00,87202.1,87336,87157,87278
12/25/2025 23:55,87236.5,87331,87165,87206.5
12/25/2025 23:50,87181,87338,87047,87216.5
12/25/2025 23:45,87004,87181,86905,87167.1
12/25/2025 23:40,87135,87235,86989,87006
12/25/2025 23:35,87130.7,87203,87010,87077.7
12/25/2025 23:30,87434,87499,87106.7,87197
12/25/2025 23:25,87561,87617,87418,87434
12/25/2025 23:20,87625,87692,87471,87580
12/25/2025 23:15,87708,87712,87608,87619.6
12/25/2025 23:10,87586,87793,87579,87689.2
12/25/2025 23:05,87577.2,87669,87529,87654.7
12/25/2025 23:00,87589.7,87699,87426,87667
12/25/2025 22:55,87544,87728,87458,87589.7
12/25/2025 22:50,87344,87573,87267,87544
12/25/2025 22:45,87653,87691,87311,87344
12/25/2025 22:40,87868.8,87896.6,87647,87732
12/25/2025 22:35,87799.9,87915,87796,87843.8
12/25/2025 22:30,87852,87902,87781,87854.4
12/25/2025 22:25,87840,87900,87768,87781
12/25/2025 22:20,87799.9,87880,87766,87766
12/25/2025 22:15,87799.9,87884,87770,87883
12/25/2025 22:10,87744,87897,87744,87838.1
12/25/2025 22:05,87910.5,87934,87739,87744
12/25/2025 22:00,87838.7,87939,87836,87852
12/25/2025 21:55,87850.3,87923,87818,87838.7
12/25/2025 21:50,87885,87966,87818,87818
12/25/2025 21:45,87905,87978,87885,87919.1
12/25/2025 21:40,87960,87994,87890,87905
12/25/2025 21:35,87955,87988,87888,87960
12/25/2025 21:30,87959.6,87986,87881.9,87953
12/25/2025 21:25,87894,87984,87881.9,87959.6
