Date,Close,High,Low,Open,Volume
2024-08-14 14:00:00,24162.25,24166.65,24154.95,24156.9,0
2024-08-14 14:05:00,24165.45,24167.7,24156.6,24162.25,0
2024-08-14 14:10:00,24171.25,24176.8,24162.45,24166.2,0
2024-08-14 14:15:00,24172.5,24177.75,24166.4,24170.25,0
2024-08-14 14:20:00,24163.2,24173.3,24159.45,24172.75,0
2024-08-14 14:25:00,24156.5,24165.75,24152.9,24163.2,0
2024-08-14 14:30:00,24161.75,24162.5,24154.0,24155.45,0
2024-08-14 14:35:00,24142.6,24163.6,24138.7,24161.95,0
2024-08-14 14:40:00,24142.0,24144.55,24127.5,24141.6,0
2024-08-14 14:45:00,24141.25,24147.65,24138.7,24143.25,0
2024-08-14 14:50:00,24154.45,24157.65,24133.7,24143.25,0
2024-08-14 14:55:00,24136.2,24155.3,24129.35,24153.7,0
2024-08-14 15:00:00,24151.15,24152.15,24121.85,24137.3,0
2024-08-14 15:05:00,24145.6,24150.4,24138.45,24150.4,0
2024-08-14 15:10:00,24135.55,24147.95,24133.0,24144.85,0
2024-08-14 15:15:00,24149.85,24149.85,24129.65,24134.3,0
2024-08-14 15:20:00,24151.0,24157.3,24146.55,24148.9,0
2024-08-14 15:25:00,24144.5,24157.15,24139.35,24149.9,0
2024-08-16 09:15:00,24342.4,24345.05,24302.8,24334.85,0
2024-08-16 09:20:00,24393.35,24396.55,24339.85,24342.4,0
2024-08-16 09:25:00,24385.65,24403.55,24383.45,24392.25,0
2024-08-16 09:30:00,24391.65,24396.1,24373.45,24385.3,0
2024-08-16 09:35:00,24374.75,24398.55,24348.1,24389.7,0
2024-08-16 09:40:00,24335.35,24374.4,24315.25,24374.4,0
2024-08-16 09:45:00,24333.1,24344.15,24317.0,24337.75,0
2024-08-16 09:50:00,24305.45,24335.35,24285.95,24333.25,0
2024-08-16 09:55:00,24300.15,24325.7,24294.75,24304.75,0
2024-08-16 10:00:00,24319.15,24319.15,24274.4,24299.1,0
2024-08-16 10:05:00,24298.65,24319.6,24287.8,24319.05,0
2024-08-16 10:10:00,24295.0,24302.45,24286.25,24297.0,0
2024-08-16 10:15:00,24282.5,24306.65,24276.85,24293.7,0
2024-08-16 10:20:00,24280.35,24287.55,24267.7,24282.1,0
2024-08-16 10:25:00,24238.95,24284.15,24233.85,24279.95,0
2024-08-16 10:30:00,24226.85,24241.9,24204.5,24241.05,0
2024-08-16 10:35:00,24244.0,24246.65,24225.3,24227.8,0
2024-08-16 10:40:00,24258.05,24258.65,24228.95,24242.45,0
2024-08-16 10:45:00,24270.85,24272.05,24245.3,24257.1,0
2024-08-16 10:50:00,24263.7,24274.9,24256.3,24271.6,0
2024-08-16 10:55:00,24256.9,24264.75,24242.7,24263.65,0
2024-08-16 11:00:00,24258.85,24261.7,24247.6,24257.45,0
2024-08-16 11:05:00,24230.6,24258.8,24226.4,24258.5,0
2024-08-16 11:10:00,24234.35,24247.6,24229.85,24231.8,0
2024-08-16 11:15:00,24239.5,24243.8,24227.85,24233.9,0
2024-08-16 11:20:00,24244.6,24252.3,24238.0,24239.65,0
2024-08-16 11:25:00,24313.9,24319.95,24245.1,24245.2,0
2024-08-16 11:30:00,24326.0,24339.95,24312.9,24313.3,0
2024-08-16 11:35:00,24312.0,24328.9,24303.75,24327.85,0
2024-08-16 11:40:00,24333.15,24334.4,24311.65,24311.65,0
2024-08-16 11:45:00,24361.0,24369.75,24330.65,24331.95,0
2024-08-16 11:50:00,24362.35,24368.05,24349.05,24360.65,0
