SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
BLACKBUCK.NS,Zinka Logistics Solutions Ltd,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,Allotment of ESOP,24-06-2025 19:53:01,https://www.bseindia.com/xml-data/corpfiling/AttachLive/17264460-3a38-4243-a9af-e999ad3307a5.pdf
500458,Kore Foods Ltd,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report","We submit herewith the voting results of the Extra Ordinary General Meeting of the Company held on Monday, June 23, 2025 along with Scrutinizer''s report.",24-06-2025 19:52:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d46bb336-a91c-4213-9e84-4f7b01944aaa.pdf
539122,Bodhtree Consulting Ltd,Announcement under Regulation 30 (LODR)-Raising of Funds,"We hereby inform you that Rights issue committee of the Board of Directors at their meeting held today i.e. June 24, 2025, interalia, approved the terms of the Rights Issue, Issue Price .... Read More..",24-06-2025 19:52:09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a7c6c257-b9f5-4469-9847-65d14d0c1b73.pdf
MUTHOOTCAP.NS,Muthoot Capital Services Ltd,Listing Of Commercial Paper,Listing of Commercial Paper,24-06-2025 19:51:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/90acba6b-2e8e-4478-ab5e-dbb307aa01e5.pdf
514324,Omnitex Industries India Ltd,Announcement Under Regulation 30 Of SEBI (LODR),Announcement under regulation 30 of SEBI (LODR),24-06-2025 19:50:04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f406be4c-98a6-4d5c-aa6a-e2338cc1b14e.pdf
OIL.NS,Oil India Ltd,"Regulation 30 Of SEBI (LODR] Regulations, 2015","Regulation 30 of SEBI (LODR) Regulations, 2015",24-06-2025 19:45:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5580fdd8-e1d6-4659-830f-3dce1bd399a1.pdf
SOLARINDS.NS,Solar Industries India Ltd,"Intimation Of Book Closure Pursuant To Regulation 42 Of The SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015","Intimation of Book Closure pursuant to Regulation 42 of the SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015.",24-06-2025 19:42:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5b8ae821-0c46-4a10-a970-3c02d53a6edb.pdf
132725,Unknown,"Intimation Of Book Closure Pursuant To Regulation 42 Of The SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015","Intimation of Book Closure pursuant to Regulation 42 of the SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015.",24-06-2025 19:42:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5b8ae821-0c46-4a10-a970-3c02d53a6edb.pdf
INDORAMA.NS,Indo Rama Synthetics (India) Ltd,Notice From GST Department,"Notice for GST Department, Nagpur",24-06-2025 19:42:12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e31134dc-a7eb-428e-b57e-e47e9bc8e476.pdf
TECHM.NS,Tech Mahindra Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Newspaper Advertisement-Disclosure Regulation 30 and 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",24-06-2025 19:37:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9ce28497-6967-4338-82b6-310ee4e4f8f0.pdf
530897,NG Industries Ltd-$,Closure of Trading Window,Closure of Trading Window,24-06-2025 19:36:55,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d0fada70-67ec-4d9a-b3a0-3104d461ab6d.pdf
532788,XL Energy Ltd,"Intimation Of Revised Record Date Under Regulation 42 Of The SEBI( Listing Obligations And Disclosure Requirements) Regulations, 2015 For Implementation Of Reduction And Allotment Of Shares As Envisaged Under The Approved Resolution Plan.","Reduction of Share Capital and Allotment of Shares as per the Resolution Plan approved by Hon''ble National Company Law Tribunal , Hyderabad Bench under Insolvency Bankruptcy Board of India .... Read More..",24-06-2025 19:34:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0b663434-3505-4a33-a791-02f7b694503a.pdf
540654,Globalspace Technologies Ltd,Closure of Trading Window,"As per SEBI (PIT) Regulations, 2018 (Including second amendment in the said regulations dated July 25, 2019), the ""trading restriction period"" shall be made applicable from the end of every .... Read More..",24-06-2025 19:33:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a9fb7270-784f-44ac-9c02-45a1d601a750.pdf
521113,Suditi Industries Ltd,Reg. 34 (1) Annual Report.,Annual Report for the Financial Year 2024-25,24-06-2025 19:32:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/11dae134-177a-4f5a-8bad-ad808a0e6dd2.pdf
CENTRUM.NS,Centrum Capital Ltd,"Intimation Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015","Please find attached disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015.",24-06-2025 19:30:07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fbbe90e9-812e-411a-aeb7-6be83416074f.pdf
526494,Promact Impex Ltd,Closure of Trading Window,"This is to inform you that in terms of Company''s code of conduct for prevention of Insider Trading, the Trading Window of the Company will remain closed from 1st July, 2025 till 48 hours .... Read More..",24-06-2025 19:30:07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7815b602-4ab1-4424-b347-75c0b761c8b6.pdf
532788,XL Energy Ltd,"Intimation Of Record Date Under Regulation 42 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 For Implementation Of Reduction And Allotment Of Shares As Envisaged Under Approved Resolution Plan.","Reduction of Share Capital and Allotment of Shares as per the Resolution Plan approved by the Hon''ble National Company Law Tribunal, Hyderabad Bench under Insolvency Bankruptcy Board of .... Read More..",24-06-2025 19:28:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5885c7cc-812a-4477-a182-30d760987dda.pdf
521113,Suditi Industries Ltd,"Notice Of 34Th Annual General Meeting Of The Company To Be Held On Wednesday, July 16, 2025 At 04:00 P.M.","34th Annual General meeting of the Company to be held on Wednesday, July 16, 2025 at 04:00 P.M.",24-06-2025 19:27:55,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eda91e5a-409a-4c12-980d-29950a708ad6.pdf
531569,Sanjivani Paranteral Ltd,Closure of Trading Window,"Closure of Trading window for the First Quarter ended on 30th June, 2025",24-06-2025 19:26:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c3a17760-3439-4199-94fe-0244d7ad0c5e.pdf
WABAG.NS,VA Tech Wabag Ltd,Intimation,Intimation of Schedule of Analysts / Institutional Investors Meeting,24-06-2025 19:25:21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a77646b-9d1a-44aa-8f2e-e697cd59973b.pdf
133269,Unknown,Intimation,Intimation of Schedule of Analysts / Institutional Investors Meeting,24-06-2025 19:25:21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a77646b-9d1a-44aa-8f2e-e697cd59973b.pdf
SANGHIIND.NS,Sanghi Industries Ltd,Intimation,The Company has informed the Exchange about Schedule of meet on 30th June 2025 and 01st July 2025.,24-06-2025 19:25:06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ce56ba07-1d66-4f73-a1d5-00879d2aa071.pdf
RPTECH.NS,Rashi Peripherals Ltd,"Grant Of Stock Options Under Rashi Peripherals Limited Employee Stock Option Scheme, 2022","Intimation for Grant of Stock Options under Rashi Peripherals Limited Employee Stock Option Scheme, 2022.",24-06-2025 19:21:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/da7c7cd2-f561-470c-ab4d-cc614ae6fd0b.pdf
519230,Kisaan Parivar Industries Ltd,Announcement under Regulation 30 (LODR)-Resignation of Director,as attached,24-06-2025 19:21:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3831dda1-a1be-429a-b839-fc060cd966bc.pdf
543899,Cube Highways Trust,Reg 23(5)(i): Disclosure of material issue,Cube Highways Trust has informed the Exchange regarding Disclosure of material issue,24-06-2025 22:40:24,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2b3b3152-afe1-4f27-8b7b-a9dbee9f98ce.pdf
MAXHEALTH.NS,Max Healthcare Institute Ltd,"Intimation Of Annual General Meeting, Record Date And Communication To Members For Deduction Of Tax At Source On Final Dividend","Intimation of Annual General Meeting, Record Date and Communication to members for deduction of tax at source on final dividend",24-06-2025 22:37:24,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2907e5ca-0008-4cc0-8845-87ec1938bd74.pdf
512022,Winro Commercial India Ltd,Announcement under Regulation 30 (LODR)-Acquisition,"Intimation under Regulation 30 read with schedule III Part A Para A(1) of SEBI LODR Regulations, 2015- Acquisition",24-06-2025 22:36:57,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a0555f99-4ff6-4d18-9e27-6f044a5851c4.pdf
