SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
NTPC.NS,NTPC Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a63b2d7f-fdae-4c6b-9cff-7f33ed442f6e.pdf,"Declaration Of COD Of Second & Last Part Capacity Of 52 MW Out Of 245 MW At Plot-3 Of NTPC'S Nokh Solar PV Project (3X245 MW) Under CPSU Scheme Phase-II, Tranche -III",Disclosure attached.,22-06-2025 08:44:28
132555,Unknown,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a63b2d7f-fdae-4c6b-9cff-7f33ed442f6e.pdf,"Declaration Of COD Of Second & Last Part Capacity Of 52 MW Out Of 245 MW At Plot-3 Of NTPC'S Nokh Solar PV Project (3X245 MW) Under CPSU Scheme Phase-II, Tranche -III",Disclosure attached.,22-06-2025 08:44:28
MALUPAPER.NS,Malu Paper Mills Ltd,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report","Outcome of Postal Ballot, Scrutinizers report and voting results",22-06-2025 22:46:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f920d8a9-242f-496f-98a0-f7ac336206ca.pdf
539607,Blue Cloud Softech Solutions Ltd,CORRIGENDUM FOR THE EGM TO BE HELD ON 27.06.2025,CORRIGENDUM FOR THE EGM TO BE HELD ON 27.06.2025,22-06-2025 22:32:21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/317835de-8217-4b28-bf88-7f36e586d586.pdf
KELLTONTEC.NS,Kellton Tech Solutions Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper Publication,22-06-2025 22:20:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bb602b71-5786-41e9-9f66-29805890411e.pdf
PNGJL.NS,P N Gadgil Jewellers Ltd,Intimation Of Store Opening,"Intimation of store opening at Wakad, Pune & Kharadi, Pune.",22-06-2025 19:50:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2a27b69a-5c87-44a4-b3a0-13d11ec7592d.pdf
SEMAC.NS,Semac Consultants Ltd-$,Closure of Trading Window,Trading Window for dealing in securities of the Company for the Designated Persons and their Immediate Relatives will remain closed with effect from 1st July 2025 till 48 hours after the .... Read More..,22-06-2025 17:25:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8f09e194-c767-46e2-bfb0-c77e016bf384.pdf
ZEEL.NS,Zee Entertainment Enterprises Ltd,Announcement under Regulation 30 (LODR)-Investor Presentation,Investor Presentation,22-06-2025 17:11:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/92213f6c-c07b-48f8-8158-85e4236e3300.pdf
105537,Unknown,Announcement under Regulation 30 (LODR)-Investor Presentation,Investor Presentation,22-06-2025 17:11:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/92213f6c-c07b-48f8-8158-85e4236e3300.pdf
CENTRUM.NS,Centrum Capital Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Please find attached Newspaper Advertisement of Corrigendum to Postal Ballot Notice Dated May 26, 2025",22-06-2025 16:47:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/299704d3-b879-43ee-8565-4e9fdf10949c.pdf
MEDPLUS.NS,Medplus Health Services Ltd,"Update Under Regulation 30 Read With Para A Part A Of Schedule III Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015","Update under Regulation 30 read with Para A Part A of Schedule III of SEBI(Listing Obligations and Disclosure Requirements)Regulations,2015",22-06-2025 14:53:16,https://www.bseindia.com/xml-data/corpfiling/AttachLive/39f0d7e3-36b8-4e0e-a889-0dfeeeabc0a2.pdf
MOLDTKPAC.NS,Mold-Tek Packaging Ltd,Intimation,"Intimation of Schedule of Analyst / Institutional Investor Meeting under the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements), Regulations, 2015.",22-06-2025 14:52:12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/80586bc0-3425-4b2b-a274-bc9f5f2708cf.pdf
530039,Lords Chemicals Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Intimation of newspaper publication of financial results for the quarter ended 31.03.2024, 30.06.2024, 30.09.2024 and 31.12.2024.",22-06-2025 13:49:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c9ba45cf-35dd-48ba-9e3b-85928dcf7406.pdf
