SYMBOL,,FinInstrmId,bse_code,nse_symbol,,
ANTGRAPHIC,"""ANTGRAPHIC.NS"",",500246,500296,NAHARSPING.NS,500246,"""500246"","
ANUHPHR,"""ANUHPHR.NS"",",500247,500300,GRASIM.NS,,""""","
ANUP,"""ANUP.NS"",",500249,500302,PEL.NS,,""""","
ANURAS,"""ANURAS.NS"",",500250,500304,NIITLTD.NS,,""""","
APARINDS,"""APARINDS.NS"",",500251,500312,ONGC.NS,,""""","
APCL,"""APCL.NS"",",500252,500313,OILCOUNTUB.NS,,""""","
APCOTEXIND,"""APCOTEXIND.NS"",",500253,500314,ORIENTHOT.NS,,""""","
APEX,"""APEX.NS"",",500257,500317,OSWALAGRO.NS,,""""","
APLAPOLLO,"""APLAPOLLO.NS"",",500259,500325,RELIANCE.NS,,""""","
APLLTD,"""APLLTD.NS"",",500260,500327,PILITA.NS,,""""","
APOLLO,"""APOLLO.NS"",",500262,500330,RAYMOND.NS,,""""","
APOLLOHOSP,"""APOLLOHOSP.NS"",",500264,500331,PIDILITIND.NS,500264,"""500264"","
APOLLOPIPE,"""APOLLOPIPE.NS"",",500265,500333,PIXTRANS.NS,,""""","
APOLLOTYRE,"""APOLLOTYRE.NS"",",500266,500335,BIRLACORPN.NS,,""""","
APOLSINHOT,"""APOLSINHOT.NS"",",500267,500336,SURYAROSNI.NS,500267,"""500267"","
APTECHT,"""APTECHT.NS"",",500268,500337,PRIMESECU.NS,,""""","
APTUS,"""APTUS.NS"",",500270,500338,PRSMJOHNSN.NS,500270,"""500270"","
ARCHIDPLY,"""ARCHIDPLY.NS"",",500271,500339,RAIN.NS,,""""","
ARCHIES,"""ARCHIES.NS"",",500277,500342,PRUDMOULI.NS,500277,"""500277"","
ARE&M,"""ARE&M.NS"",",500279,500343,AMJLAND.NS,,""""","
ARENTERP,"""ARENTERP.NS"",",500280,500350,RSWM.NS,,""""","
ARIES,"""ARIES.NS"",",500282,500354,RAJSREESUG.NS,,""""","
ARIHANTCAP,"""ARIHANTCAP.NS"",",500284,500355,RALLIS.NS,,""""","
ARIHANTSUP,"""ARIHANTSUP.NS"",",500285,500356,RAMANEWS.NS,500285,"""500285"","
ARKADE,"""ARKADE.NS"",",500288,500367,RUBFILA.NS,,""""","
ARMANFIN,"""ARMANFIN.NS"",",500290,500368,PATANJALI.NS,,""""","
AROGRANITE,"""AROGRANITE.NS"",",500292,500378,JINDALSAW.NS,,""""","
ARROWGREEN,"""ARROWGREEN.NS"",",500294,500380,JKLAKSHMI.NS,,""""","
ARSHIYA,"""ARSHIYA.NS"",",500295,500387,SHREECEM.NS,,""""","
ARTEMISMED,"""ARTEMISMED.NS"",",500296,500390,RELINFRA.NS,,""""","
ARTNIRMAN,"""ARTNIRMAN.NS"",",500298,500400,TATAPOWER.NS,500298,"""500298"","
